survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,6,0.4344,0.3783,0.4025,0.2821,0.2408,0.1204,-0.0242,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4537,0.345,0.3917,0.2739,0.2408,0.1178,-0.0467,
afrobarometer,Q93B,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,6,0.4344,0.3783,0.4025,0.2821,0.2408,0.1204,-0.0242,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,15,0.2177,0.44,0.3792,0.3337,0.3475,0.0455,0.0608,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.242,0.405,0.3542,0.3073,0.3475,0.0469,0.0508,
afrobarometer,Q15,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.2579,0.4233,0.3692,0.3134,0.3475,0.0558,0.0541,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,13,0.1433,0.4358,0.3717,0.3255,0.3475,0.0462,0.0641,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0637,0.405,0.3525,0.3073,0.3475,0.0452,0.0525,
afrobarometer,Q15,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.1429,0.4233,0.365,0.3134,0.3475,0.0516,0.0583,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,model,14,0.2599,0.3732,0.4,0.3444,0.2879,0.0556,-0.0268,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1961,0.3531,0.3983,0.3078,0.2879,0.0905,-0.0452,
afrobarometer,Q18,Gabon,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.1193,0.364,0.4042,0.3246,0.2879,0.0796,-0.0402,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,model,20,0.2838,0.3724,0.3607,0.3633,0.2879,-0.0026,0.0117,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0784,0.3531,0.2828,0.3078,0.2879,-0.025,0.0703,
afrobarometer,Q18,Gabon,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.1761,0.364,0.3038,0.3246,0.2879,-0.0208,0.0602,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,model,14,0.2376,0.3467,0.3467,0.2774,0.2733,0.0693,0.0,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3358,0.3242,0.2542,0.2733,0.07,0.0116,
afrobarometer,Q18,Angola,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0471,0.3392,0.3567,0.2703,0.2733,0.0864,-0.0175,
