selector,baseline_model,alt_model,n_paired_rows,mean_map_jaccard,frac_cells_codes_differ,mean_delta_model_acc,mean_abs_delta_model_acc,mean_delta_value_over_random,mean_abs_delta_value_over_random,vor_sign_flip,mean_delta_cost_of_imperfect,mean_abs_delta_cost_of_imperfect,mean_delta_captured_importance,mean_abs_delta_captured_importance,conclusions_move
deepseek,all-MiniLM-L6-v2,all-mpnet-base-v2,309,0.5842844387669476,0.9611650485436893,0.004345307443365697,0.023832686084142393,0.0005977346278317152,0.028760194174757284,False,-0.0040559870550161805,0.02553948220064725,0.007432038834951456,0.0766093851132686,True
deepseek,all-MiniLM-L6-v2,all-roberta-large-v1,306,0.5599629848739558,0.9705882352941176,-0.003460130718954246,0.026859477124183004,-0.0069192810457516345,0.030455882352941176,False,0.003616666666666668,0.027318627450980393,-0.003947712418300655,0.07829477124183006,True
kimi,all-MiniLM-L6-v2,all-mpnet-base-v2,306,0.6047508357000653,0.9411764705882353,0.005501960784313723,0.022037254901960783,0.0063222222222222195,0.022076470588235295,False,-0.006732679738562092,0.022813071895424836,-0.004900326797385622,0.054975490196078426,True
kimi,all-MiniLM-L6-v2,all-roberta-large-v1,306,0.5588883145203771,0.9705882352941176,0.0042104575163398675,0.025355555555555555,0.004494444444444443,0.025316013071895425,False,-0.006334640522875816,0.02771045751633987,-0.005475816993464053,0.06377124183006537,True
